company_id,type,rule_id,text,confidence_pct
id,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
id,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
1,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
1,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
2,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
2,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
3,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
3,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
4,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
4,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
5,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
5,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
6,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
6,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
7,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
7,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
8,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
8,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
9,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
9,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
10,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
10,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
11,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
11,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
12,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
12,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
13,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
13,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
14,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
14,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
15,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
15,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
16,pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,80
16,con,C1,Financial metrics require continuous monitoring due to market volatility.,75
